Locality,Type_of_property,Subtype_of_property,Price,TransactionType,No_of_rooms,Kitchen,IsFurnished,Fireplace_exist,Garden,Terrace,Surface_area_of_land,Living_area,Facade_count,Swimming_pool,State_of_building
Doornzelestraat   23 - 31,house,house,589000,for sale,3,1,0,0,0,0,150m2,nullm2,nu,0,
Sint-Engelbertusstraat   11,house,house,125000,for sale,2,1,0,0,0,0,650m2,nullm2,4,0,
Hoge Dreef   39,house,house,180000,for sale,3,0,0,0,0,0,788m2,nullm2,4,0,
Rue de Gohyssart,house,house,189900,for sale,3,0,0,0,1,1,389m2,243m2,3,0,
Puttenhoflaan   26,house,house,190000,for sale,2,1,0,0,0,1,445m2,171m2,4,0,
Hindedreef   33,house,house,192000,for sale,3,1,0,0,0,0,487m2,nullm2,4,0,
Rue de Gohyssart,house,house,194900,for sale,3,0,0,0,1,1,414m2,243m2,4,0,
Rue de Gohyssart,house,house,199900,for sale,3,0,0,0,1,1,560m2,243m2,3,0,
7712    —        Mouscron Herseaux      |,house,house,225750,for sale,3,1,0,0,1,1,214m2,134m2,2,0,as new
Pertendonckstraat   47,house,house,290000,for sale,3,1,0,0,0,0,779m2,nullm2,3,0,
Rozenstraat,house,house,403500,for sale,3,1,0,0,0,0,411m2,157m2,4,0,as new
3080    —        Tervuren      |,house,house,497600,for sale,3,1,0,0,0,0,560m2,175m2,3,0,as new
Lage Heirweg   37,house,villa,1162500,for sale,5,0,0,0,0,0,866m2,392m2,4,0,as new
1180    —        Uccle      |,house,house,1975000,for sale,6,1,0,0,1,0,0m2,451m2,4,0,as new
Koning Albertpark   20,house,apartment block,3500000,for sale,18,0,0,0,0,1,644m2,1400m2,nu,0,
Rue Pierreuse   114,house,house,275000,for sale,3,1,0,0,0,1,0m2,120m2,2,0,just renovated
Rue Saint Eloi   61,house,house,89000,for sale,0,0,0,0,0,0,0m2,170m2,,0,
Rue Saint Eloi   59,house,house,119000,for sale,0,0,0,0,0,0,0m2,166m2,,0,
Eksaarde-dorp   162,house,house,275000,for sale,2,0,0,0,1,1,601m2,nullm2,3,0,good
Meensesteenweg   153,house,mixed use building,300000,for sale,3,0,0,0,0,0,242m2,288m2,,0,
Gontrode Heirweg   142,house group,house group,374546.41 - 461015.8,for sale,,0,0,0,0,0,,nullm2,,0,
4000    —        Liège      |,house,apartment block,260000,for sale,5,1,0,0,1,1,400m2,195m2,3,0,to be done up
7382    —        Audregnies      |,house,house,290000,for sale,5,1,0,0,0,1,1078m2,291m2,3,0,as new
7134    —        Péronnes-lez-binche      |,house,house,229000,for sale,4,1,0,0,1,1,192m2,206m2,2,0,good
Krombekestraat   30,house,house,255000,for sale,5,0,0,0,0,0,437m2,244m2,nu,0,as new
Dorpsstraat   20,house,house,400000,for sale,3,0,0,0,0,1,221m2,169m2,,0,
Zuidstraat   9,house,house,620000,for sale,3,0,0,0,0,1,1700m2,315m2,nu,0,as new
2018    —        Antwerp      |,house,apartment block,1950000,for sale,5,1,0,0,1,1,0m2,550m2,2,0,as new
3472    —        Kortenaken      |,house,exceptional property,1350000,for sale,0,0,0,0,1,1,4225m2,nullm2,11,0,as new
1570    —        Tollembeek      |,house,house,165000,for sale,3,1,0,0,0,0,223m2,nullm2,4,0,to renovate
Rue du Troisième Age   70,house,house,230000,for sale,4,0,0,0,0,1,2144m2,nullm2,nu,0,
Hoppeweg,house,house,391000,for sale,3,1,0,0,0,0,258m2,167m2,3,0,as new
Hoppeweg,house,house,433000,for sale,3,1,0,0,0,0,386m2,150m2,3,0,as new
1745    —        Opwijk      |,house,house,435000,for sale,3,1,0,0,1,1,240m2,145m2,,0,
1745    —        Opwijk      |,house,house,440000,for sale,3,1,0,0,1,1,292m2,138m2,,0,
1745    —        Opwijk      |,house,house,445000,for sale,3,1,0,0,1,1,297m2,145m2,,0,
4053    —        Chaudfontaine      |,house,exceptional property,890000,for sale,6,0,0,0,0,0,31440m2,1546m2,4,0,
Domaine Le Cul de Cheval 428             Box 0,house,house,62500,for sale,2,1,0,0,0,1,280m2,31m2,4,0,
Dasstraat   8,house,chalet,90000,for sale,3,0,0,0,0,0,434m2,nullm2,4,0,
*RO - Rue Mitrecq   88,house,house,105000,for sale,4,0,0,0,0,0,285m2,nullm2,2,0,good
Bredestraat   31,house,house,125000,for sale,2,0,0,0,0,0,673m2,nullm2,4,0,
6044    —        Roux      |,house,villa,245000,for sale,2,1,0,0,1,1,582m2,101m2,4,0,as new
Stationsstraat   162,house,house,310000,for sale,3,0,0,0,0,1,833m2,nullm2,4,0,
Steenakkerstraat   69,house,house,365000,for sale,3,1,0,0,0,0,358m2,160m2,nu,0,
Steenakkerstraat   69,house,house,365000,for sale,3,1,0,0,0,0,358m2,160m2,nu,0,
Visspaanstraat   49,house,house,245000,for sale,1,0,0,0,0,0,85m2,70m2,,0,
8300    —        Knokke-Heist      |,house,house,1680000,for sale,6,0,0,1,0,1,1600m2,730m2,nu,0,
3090    —        Overijse      |,house,villa,539000,for sale,3,1,0,1,1,1,600m2,nullm2,4,0,
2610    —        Wilrijk      |,house,house,1275000,for sale,5,1,0,1,0,1,478m2,230m2,2,0,
Rue Adelin et Jules Husson   30,house,house,60000,for sale,4,0,0,0,1,1,0m2,168m2,2,0,to renovate
Rue du Marabout 45             Box 0,house,house,65000,for sale,2,1,0,0,1,0,410m2,83m2,2,0,
Dohan Bas   2,house,house,70000,for sale,3,0,0,0,0,0,279m2,181m2,,0,
Moeskroensesteenweg   323,house,house,70000,for sale,2,0,0,0,0,0,250m2,163m2,nu,0,
7600    —        PÉRUWELZ      |,house,house,79000,for sale,3,1,0,0,0,1,220m2,214m2,2,0,to renovate
Klein Ravels   14,house,house,85000,for sale,2,0,0,0,0,0,1156m2,254m2,nu,0,
Tuinwijkstraat   8,house,house,100000,for sale,3,1,0,0,0,0,176m2,nullm2,2,0,
7380    —        Quievrain      |,house,house,120000,for sale,3,1,0,0,0,1,700m2,85m2,2,0,good
Ieperstraat   149,house,house,129000,for sale,4,0,0,0,0,1,160m2,nullm2,nu,0,to renovate
Chaussée Gabrielle Richet   173,house,house,130000,for sale,2,1,0,0,0,0,0m2,nullm2,2,0,good
7110    —        La Louvière Houdeng-Goegnies      |,house,mixed use building,140000,for sale,3,1,0,0,1,0,292m2,100m2,2,0,good
7971    —        BASECLES      |,house,house,140000,for sale,3,1,0,0,0,1,246m2,230m2,2,0,good
5030    —        Gembloux      |,house,house,150000,for sale,2,1,0,0,0,0,0m2,60m2,nu,0,good
7390    —        WASMUEL      |,house,house,160000,for sale,2,1,0,0,0,1,233m2,95m2,2,0,good
4052    —        Beaufays      |,house,house,165000,for sale,4,0,0,0,0,0,388m2,240m2,3,0,to renovate
7340    —        Colfontaine      |,house,house,165000,for sale,4,1,0,0,0,1,429m2,220m2,2,0,good
Doornstraat   19,house,house,165000,for sale,2,1,0,0,0,0,440m2,nullm2,3,0,
8470    —        Gistel      |,house,house,169000,for sale,3,1,0,0,0,0,320m2,110m2,3,0,to renovate
Ieperstraat   125,house,house,170000,for sale,3,0,0,0,0,0,156m2,176m2,nu,0,
Basseliersstraat   69,house,house,175000,for sale,2,0,0,0,0,0,216m2,111m2,nu,0,
Zandstraat   57,house,house,175000,for sale,3,1,0,0,0,0,153m2,nullm2,nu,0,
4000    —        Liege      |,house,house,175000,for sale,4,1,0,0,0,0,150m2,200m2,2,0,to renovate
6060    —        Gilly      |,house,apartment block,175000,for sale,1,1,0,0,0,1,50m2,nullm2,nu,0,good
Roeselarestraat   4,house,house,175000,for sale,3,0,0,0,0,0,325m2,225m2,nu,0,as new
Zandberg   23,house,house,179000,for sale,3,1,0,0,0,0,3408m2,nullm2,4,0,to renovate
Klemskerkestraat   26/239,house,house,179500,for sale,2,0,1,0,1,0,171m2,nullm2,nu,0,
Sint Annastraat   35,house,house,180000,for sale,2,0,0,0,0,0,60m2,nullm2,nu,0,
Caesar Gezellestraat   20,house,house,187000,for sale,2,1,0,0,1,1,135m2,nullm2,2,0,just renovated
Stationsstraat   91,house,house,189000,for sale,3,1,0,0,0,1,151m2,nullm2,,0,
Romeinsebaan   48,house,house,190000,for sale,3,0,0,0,0,0,153m2,190m2,nu,0,good
Anderenbroek   25,house,house,190000,for sale,3,1,0,0,0,1,404m2,nullm2,3,0,
driftweg   152,house,house,195000,for sale,2,0,0,0,0,1,70m2,65m2,nu,0,
Steenbergstraat   4A,house,house,195000,for sale,3,1,0,0,0,1,401m2,nullm2,3,0,
Ronse Baan   41,house,house,195000,for sale,3,0,0,0,1,0,490m2,166m2,nu,0,
"Mulkstraat   120,",house,house,199000,for sale,2,1,0,0,0,0,0m2,185m2,nu,0,
Rue René Lefebvre   11,house,house,199000,for sale,4,1,0,0,0,1,1210m2,186m2,,0,
Dikkebusstraat   151,house,house,199000,for sale,3,0,0,0,0,0,295m2,210m2,nu,0,as new
7000    —        Mons      |,house,house,200000,for sale,2,1,0,0,0,1,200m2,130m2,2,0,good
Heemstraat   13,house,town house,200000,for sale,3,1,0,0,0,1,213m2,nullm2,2,0,
Eksaardserijweg   213,house,house,200000,for sale,3,0,0,0,0,0,0m2,165m2,nu,0,to be done up
8680    —        Koekelare      |,house,house,209000,for sale,2,1,0,0,1,0,327m2,nullm2,2,0,to renovate
Schutterswijk   11,house,house,209000,for sale,4,0,0,0,0,0,0m2,nullm2,nu,0,good
"Koningin Fabiolastraat   59,",house,house,210000,for sale,3,0,0,0,1,0,380m2,205m2,,0,
Netelzeepstraat   3,house,house,215000,for sale,3,1,0,0,0,0,4610m2,nullm2,4,0,
J. Soetestraat   15,house,house,215000,for sale,3,1,0,0,0,0,157m2,nullm2,2,0,
1360    —        Perwez Thorembais-Saint-Trond      |,house,house,219000,for sale,2,1,0,0,1,1,225m2,100m2,3,0,just renovated
Oude Abdijstraat   43,house,house,220000,for sale,3,1,0,0,0,0,196m2,nullm2,2,0,just renovated
Harensesteenweg   148,house,house,225000,for sale,2,0,0,0,0,1,132m2,nullm2,nu,0,
Iepersestraat   319,house,house,225000,for sale,4,0,0,0,0,0,390m2,nullm2,nu,0,good
Dennenlaan   31,house,house,227000,for sale,3,1,0,0,0,0,0m2,nullm2,nu,0,
Carnotstraat   140          Box GLV,house,house,229000,for sale,1,0,0,0,0,0,0m2,155m2,2,0,good
Vrouw van Mechelenstraat   23,house,house,230000,for sale,4,0,0,0,0,1,124m2,nullm2,nu,0,to renovate
Van Nevelestraat   113,house,house,239000,for sale,2,0,0,0,0,0,144m2,150m2,nu,0,
rue Haute-Wez   138-140,house,apartment block,249000,for sale,7,0,0,0,0,1,0m2,nullm2,2,0,
8800    —        Roeselare      |,house,house,249900,for sale,4,0,0,0,0,1,154m2,193m2,nu,0,as new
Molenbeekstraat   39,house,house,250000,for sale,3,0,0,0,0,0,231m2,158m2,nu,0,
Pierlapont   50          Box b,house,house,250000,for sale,3,0,0,0,0,0,0m2,100m2,nu,0,good
"Zuidstraat   4,",house,house,253740,for sale,3,0,0,0,0,0,162m2,145m2,2,0,good
Wippelgem Eindeken   50,house,house,255000,for sale,3,0,0,0,0,0,240m2,145m2,3,0,
Kortrijksestraat   56,house,house,259000,for sale,3,0,0,0,0,0,730m2,nullm2,nu,0,to be done up
Hogeweg   30,house,house,259000,for sale,4,0,0,0,1,0,379m2,nullm2,nu,0,
"Sint-Gillisdorpstraat   30,",house,house,265000,for sale,3,0,0,0,0,0,95m2,97m2,nu,0,
Hogenakkerstraat   9,house,apartment block,265000,for sale,6,1,0,0,1,1,201m2,278m2,2,0,
"Leiseleveld   49,",house,house,269000,for sale,5,0,0,0,0,1,161m2,nullm2,nu,0,to renovate
8680    —        Koekelare      |,house,house,269000,for sale,4,1,0,0,1,0,558m2,140m2,3,0,to be done up
Brusselse steenweg   405,house,house,275000,for sale,2,0,0,0,1,0,173m2,nullm2,nu,0,
"Steenhouwersstraat   39,",house,house,275000,for sale,3,0,0,0,0,0,59m2,123m2,nu,0,
Molenstraat   46,house,house,275000,for sale,3,1,0,0,0,1,115m2,nullm2,2,0,
Wijtschatestraat   1,house,town house,280000,for sale,4,1,0,0,0,1,164m2,nullm2,3,0,
Ruiterstraat   18,house,house,280000,for sale,4,0,0,0,1,0,276m2,nullm2,nu,0,
Elenestraat   283,house,house,283000,for sale,3,0,0,0,0,0,658m2,nullm2,nu,0,
"Rijkswachtstraat   76,",house,house,285000,for sale,3,1,0,0,1,0,721m2,115m2,3,0,
4252    —        Omal      |,house,house,289000,for sale,3,0,0,0,0,0,254m2,nullm2,3,0,
2100    —        Deurne      |,house,house,295000,for sale,3,1,0,0,0,0,177m2,300m2,2,0,to renovate
"Ezelstraat   113,",house,house,298000,for sale,3,0,0,0,0,0,85m2,149m2,nu,0,good
"Vlamingstraat   57,",house,house,298000,for sale,2,0,0,0,0,0,0m2,125m2,nu,0,to be done up
Boomlaarstraat   83,house,house,299000,for sale,2,0,0,0,0,1,120m2,120m2,nu,0,
Brusselsesteenweg   5,house,house,299000,for sale,3,1,0,0,0,1,45m2,nullm2,2,0,
KAPELLESTRAAT   71,house,house,299000,for sale,3,0,0,0,0,1,306m2,165m2,nu,0,
Binnenstraat   229,house,house,305000,for sale,4,0,0,0,0,1,0m2,170m2,nu,0,just renovated
Den Haes   10,house,villa,315000,for sale,3,0,0,0,0,0,850m2,276m2,nu,0,
2870    —        Breendonk      |,house,apartment block,319000,for sale,4,0,0,0,0,1,227m2,280m2,nu,0,as new
Waregem   -,house,house,322234,for sale,3,1,0,0,0,0,342m2,nullm2,3,0,as new
Dambruggestraat   95,house,apartment block,324900,for sale,3,1,0,0,0,1,57m2,145m2,2,0,good
Witte Wilgenlaan   20,house,house,325000,for sale,3,0,0,0,0,0,583m2,nullm2,nu,0,
2222    —        itegem      |,house,house,329000,for sale,3,1,0,0,0,0,853m2,nullm2,4,0,to be done up
Deerlijk   -,house,house,333960,for sale,3,0,0,0,0,0,443m2,nullm2,3,0,as new
Bruggestraat   11,house,house,335000,for sale,4,1,0,0,1,1,450m2,nullm2,3,1,good
"Tuinwijk   46,",house,house,339000,for sale,4,1,0,0,1,0,489m2,170m2,3,0,
"Tuinwijk   66,",house,house,339000,for sale,4,1,0,0,1,0,523m2,170m2,3,0,
"Tuinwijk   86,",house,house,339000,for sale,4,1,0,0,1,0,528m2,160m2,3,0,
"Oude Veldstraat   13,",house,house,340000,for sale,3,0,0,0,0,0,443m2,144m2,nu,0,
Beustereind   103,house,house,345000,for sale,3,0,0,0,0,0,361m2,nullm2,3,0,as new
"Rommeldonkstraat   9,",house,house,346300,for sale,3,0,0,0,0,1,324m2,158m2,3,0,
Rue du Fort,house,house,347500,for sale,3,1,0,0,0,0,825m2,155m2,4,0,as new
Rue du Fort,house,house,347500,for sale,3,1,0,0,0,0,825m2,155m2,4,0,as new
Haagstraat   19,house,house,349000,for sale,3,0,0,0,1,0,286m2,nullm2,nu,0,
Beustereind   87,house,house,349500,for sale,3,0,0,0,0,0,800m2,220m2,4,0,as new
Middenheide   42,house,villa,350000,for sale,4,1,0,0,0,0,2146m2,nullm2,4,0,
Eegene   29,house,house,350000,for sale,4,0,0,0,1,0,1410m2,nullm2,nu,0,
Stationsstraat   136,house,mixed use building,355000,for sale,4,1,0,0,0,0,0m2,nullm2,2,0,good
Geraardsbergsevoetweg   15,house,house,376000,for sale,3,0,0,0,1,0,641m2,nullm2,nu,0,
"Lattenklieversstraat   122,",house,house,379000,for sale,4,1,0,0,0,0,405m2,197m2,2,0,
Vanden Eeckhoudtstraat   12,house,house,380000,for sale,3,1,0,0,0,1,110m2,nullm2,3,0,just renovated
"Sint-Kristoffelstraat   113,",house,house,380000,for sale,4,0,0,0,0,0,250m2,191m2,nu,0,
Baarle-Frankrijkstraat   3A,house,house,385000,for sale,3,1,0,0,0,1,671m2,nullm2,4,0,
Stationsstraat   83,house,house,390000,for sale,10,0,0,0,1,0,770m2,nullm2,nu,0,
Van Stralenstraat   65,house,apartment block,399000,for sale,5,1,0,0,0,0,64m2,291m2,2,0,good
Zonstraat   2,house,house,399000,for sale,7,0,0,0,0,0,75m2,268m2,nu,0,to be done up
Graaf van Landaststraat   3A,house,house,399000,for sale,1,0,0,0,0,0,519m2,nullm2,nu,0,
Tuinwijk ter Heide   10,house,house,400000,for sale,4,0,0,0,0,0,102m2,nullm2,nu,0,
"Nieuwpoortsesteenweg   190,",house,house,419000,for sale,8,0,0,0,0,0,147m2,nullm2,2,0,
Ebergiste de Deynestraat   W0.2,house,house,419000,for sale,3,1,0,0,1,1,146m2,146m2,2,0,as new
Veemarkt   14,house,house,424000,for sale,4,1,0,0,1,1,0m2,nullm2,nu,0,just renovated
Salvatorstraat   20,house,mixed use building,425000,for sale,0,0,0,0,0,0,2200m2,2000m2,3,0,to renovate
Zuidboulevard   HR 0.4,house,house,425000,for sale,1,0,0,0,0,0,227m2,227m2,2,0,
"Rue Haute Franchise   6,",house,villa,435000,for sale,3,1,0,0,1,1,930m2,nullm2,4,0,
Sint-Augustinuslaan   13,house,house,440000,for sale,3,0,0,0,0,0,338m2,291m2,nu,0,
Sint-Elooisstraat   83A,house,house,440000,for sale,5,0,0,0,1,1,190m2,180m2,3,0,
Rue Potaerdegat - Potaerdegatstraat   93,house,mixed use building,449000,for sale,3,0,0,0,0,1,180m2,260m2,2,0,good
"Wondelgemstraat   11,",house,house,455000,for sale,4,0,0,0,0,0,139m2,300m2,nu,0,
Hoge Avrijestraat   17,house,villa,475000,for sale,2,1,0,0,0,0,1289m2,nullm2,nu,0,
1400    —        Feluy      |,house,country cottage,480000,for sale,4,1,0,0,0,1,0m2,nullm2,nu,0,good
7181    —        Feluy      |,house,country cottage,480000,for sale,4,1,0,0,0,1,0m2,nullm2,nu,0,good
6250    —        AISEAU      |,house,house,485000,for sale,10,0,0,0,0,0,2400m2,457m2,,0,
Rivierstraat   76,house,house,495000,for sale,3,1,0,0,0,1,3306m2,145m2,,0,
Engelstraat   1,house,house,498000,for sale,3,0,0,0,1,0,2364m2,nullm2,nu,0,
1420    —        Braine-l'Alleud      |,house,mansion,499000,for sale,4,1,0,0,0,1,698m2,180m2,2,0,good
Reigerstraat   18,house,villa,499000,for sale,4,1,0,0,0,1,599m2,nullm2,nu,0,
Petrus Paulus Rubenslaan   17,house,house,499000,for sale,3,0,0,0,1,0,978m2,nullm2,nu,0,
Zuidlaan   134,house,house,525000,for sale,6,0,0,0,0,1,1622m2,450m2,nu,0,as new
2820    —        Bonheiden      |,house,mixed use building,549000,for sale,4,0,0,0,0,1,1441m2,420m2,4,0,to renovate
"Koninginlaan   1,",house,house,549000,for sale,5,0,0,0,0,0,118m2,340m2,nu,0,good
Bergenstraat   43,house,house,574441,for sale,4,1,0,0,1,0,386m2,192m2,,0,
Bergenstraat   55,house,house,586670,for sale,4,1,0,0,1,0,351m2,203m2,,0,
Kluizendorpstraat   34,house,house,589000,for sale,4,0,0,0,0,0,835m2,nullm2,nu,0,
5300    —        Andenne      |,house,exceptional property,590000,for sale,5,0,0,1,1,1,3200m2,250m2,4,0,as new
Bergenstraat   51,house,house,591221,for sale,4,1,0,0,1,0,325m2,200m2,,0,
Heistlaan   646,house,house,595000,for sale,3,0,0,0,0,1,2621m2,nullm2,nu,0,to renovate
Turfputstraat   94,house,house,595000,for sale,4,0,0,0,1,0,912m2,nullm2,nu,0,
Bergenstraat   45,house,house,598850,for sale,4,1,0,0,1,1,347m2,203m2,,0,
1640    —        Rhode-Saint-Genese      |,house,house,599000,for sale,4,0,0,0,0,1,0m2,180m2,3,0,just renovated
Bergenstraat   41,house,house,599256,for sale,4,1,0,0,1,0,393m2,203m2,,0,
Bergenstraat   47,house,house,607489,for sale,4,1,0,0,1,0,267m2,234m2,,0,
Bergenstraat   53,house,house,608660,for sale,4,1,0,0,1,1,257m2,234m2,,0,
Zuidstraat   9,house,house,620000,for sale,3,0,0,0,0,1,1700m2,315m2,nu,0,as new
1080    —        Molenbeek-Saint-Jean      |,house,mixed use building,649000,for sale,9,1,0,0,0,0,0m2,435m2,2,0,good
Maastrichterstraat   14,house,apartment block,649000,for sale,0,0,0,0,0,0,720m2,250m2,nu,0,
1040    —        Etterbeek      |,house,house,679000,for sale,6,1,0,0,1,1,200m2,270m2,2,0,
Kemmelbergstraat   9,house,house,690000,for sale,3,0,0,0,1,1,90m2,262m2,2,0,
Ezelpoort   1,house,house,695000,for sale,5,0,0,0,0,1,0m2,nullm2,nu,0,
Markt   7173/...,house,apartment block,695000,for sale,10,1,0,0,0,0,410m2,nullm2,3,0,good
Markt   7173,house,mixed use building,695000,for sale,10,1,0,0,0,0,410m2,nullm2,3,0,good
Weidelaan   24,house,house,730000,for sale,4,0,0,0,1,0,983m2,nullm2,nu,0,
6250    —        AISEAU      |,house,house,750000,for sale,13,0,0,0,0,0,5000m2,600m2,,0,
2500    —        Lier      |,house,villa,790000,for sale,5,0,0,1,0,1,1712m2,306m2,4,1,good
Kerkstraat   1/B,house,villa,798000,for sale,3,0,0,0,0,0,2455m2,nullm2,nu,0,as new
Lambrechtshoekenlaan   327-329,house,house,825000,for sale,4,1,0,0,0,1,635m2,nullm2,nu,0,
Regenboogstraat   5a,house,exceptional property,825000,for sale,4,0,0,0,1,0,396m2,380m2,2,0,
1730    —        Mollem      |,house,villa,849000,for sale,5,1,0,0,0,0,3164m2,498m2,nu,0,
1785    —        Merchtem      |,house,villa,849000,for sale,5,1,0,0,0,0,3164m2,498m2,nu,0,
4630    —        Soumagne      |,house,exceptional property,920000,for sale,3,1,0,0,0,1,12639m2,286m2,4,0,good
Koningin Elisabethlaan   18,house,house,975000,for sale,4,0,0,0,0,1,230m2,nullm2,,0,
Vlamingstraat   92,house,house,980000,for sale,3,0,0,0,0,0,0m2,150m2,nu,0,as new
1348    —        Louvain-La-Neuve      |,house,farmhouse,1150000,for sale,7,1,0,1,0,0,3680m2,nullm2,4,0,good
Westlaan   85,house,house,1200000,for sale,6,0,0,0,0,0,810m2,872m2,nu,0,
Rue Anoul - Anoulstraat   14,house,apartment block,1250000,for sale,0,0,1,0,1,0,90m2,330m2,2,0,
Middendreef   5,house,villa,1295000,for sale,4,1,0,0,0,1,5336m2,496m2,4,0,as new
Sint-Antoniusstraat   1,house,mixed use building,1330000,for sale,0,0,0,0,0,0,265m2,nullm2,2,0,good
1540    —        Herne      |,house,mixed use building,1370000,for sale,9,1,0,0,0,1,25457m2,230m2,4,0,
Moorsledestraat   3,house,mansion,1450000,for sale,7,0,0,0,0,1,0m2,nullm2,nu,0,good
Rue Tenbosch   56,house,house,1495000,for sale,5,0,0,0,1,0,182m2,400m2,2,0,
8470    —        Gistel      |,house,villa,1495000,for sale,3,1,0,0,0,1,5924m2,642m2,nu,0,good
1180    —        Uccle      |,house,villa,1695000,for sale,5,1,0,0,0,0,21m2,380m2,4,0,
Volkstraat   23,house,mixed use building,1750000,for sale,4,0,0,0,0,0,435m2,nullm2,1,0,just renovated
1180    —        Uccle      |,house,villa,1995000,for sale,4,1,0,1,0,1,1080m2,310m2,4,1,as new
Ganzendries   65,house,house,2300000,for sale,8,1,0,0,0,1,81788m2,600m2,4,0,
3080    —        Tervuren      |,house,house,2350000,for sale,5,0,0,0,1,1,1720m2,626m2,4,1,
1730    —        Asse      |,house,villa,2395000,for sale,6,1,0,0,0,0,39438m2,540m2,4,1,as new
9880    —        Aalter      |,house,exceptional property,2450000,for sale,5,1,0,0,0,0,11036m2,1200m2,nu,0,as new
Waterhoenlaan - Avenue Des Poules D'eau   17,house,house,2740000,for sale,6,1,0,1,1,1,2750m2,nullm2,4,1,just renovated
1410    —        Waterloo      |,house,villa,2990000,for sale,5,0,0,0,0,1,1931m2,700m2,4,0,as new
1380    —        Lasne      |,house,villa,3300000,for sale,3,1,0,0,0,1,4200m2,1015m2,4,0,
1380    —        LASNE-CHAPELLE-SAINT-LAMBERT      |,house,villa,3600000,for sale,3,0,0,1,0,1,29000m2,nullm2,4,0,as new
Besmelaan   22,house,exceptional property,4950000,for sale,7,0,0,0,0,1,4895m2,1500m2,nu,1,
Edixvelde   17,house,house,219000,for sale,4,1,0,0,0,1,214m2,155m2,3,0,as new
Rue Molinvaux   302,house,house,235000,for sale,3,0,0,0,1,1,212m2,168m2,2,0,good
Kruisstraat   1,house,house,323500,for sale,3,0,0,0,0,0,295m2,168m2,nu,0,
Kruisstraat   1,house,house,323500,for sale,3,0,0,0,0,0,290m2,168m2,nu,0,
Gaffelstraat   76,house,apartment block,349000,for sale,7,1,0,0,1,1,187m2,248m2,2,0,good
Rue Rogier   54,house,house,115000,for sale,2,1,0,0,0,1,0m2,nullm2,3,0,to be done up
1790    —        Affligem      |,house,house,249000,for sale,3,1,0,0,0,1,0m2,150m2,2,0,to be done up
1070    —        Anderlecht      |,house,mixed use building,425000,for sale,4,1,0,0,0,1,0m2,165m2,2,0,as new
Vossekot   29,house,house,200000,for sale,3,0,0,0,0,0,0m2,nullm2,4,0,
Tiensesteenweg   82,house,house,200000,for sale,3,1,0,0,0,0,825m2,nullm2,nu,0,
Stroeykensstraat   37,house,house,210000,for sale,3,1,0,0,0,1,547m2,nullm2,nu,0,
7712    —        Mouscron Herseaux      |,house,house,235000,for sale,3,1,0,0,0,0,395m2,110m2,2,0,as new
Rue du Roua   lot 45,house,house,255000,for sale,3,0,0,0,0,0,205m2,144m2,2,0,as new
Rue du Roua   lot 45,house,house,255000,for sale,3,0,0,0,0,0,205m2,144m2,2,0,as new
Impasse de la jonction   15,house,house,259000,for sale,3,1,0,0,0,0,521m2,nullm2,4,0,as new
Route de la Plate Taille   51,house,villa,265600,for sale,4,0,1,0,0,1,114m2,120m2,4,0,
Klimopwindestraat   27,house,house,272306,for sale,3,1,0,0,0,0,215m2,nullm2,3,0,
Winkelomstraat   35,house,house,283000,for sale,3,0,0,0,0,1,321m2,171m2,,0,
6990    —        Fronville      |,house,farmhouse,300000,for sale,5,1,0,0,0,1,1300m2,300m2,4,0,to renovate
"Aaigemdorp   89,",house,house,325000,for sale,3,1,0,0,0,1,138m2,165m2,nu,0,as new
"Aaigemdorp   87,",house,house,325000,for sale,3,1,0,0,0,1,138m2,165m2,nu,0,as new
rue du Bonsopré   2          Box A,house,house,349000,for sale,3,1,0,0,0,1,985m2,nullm2,3,0,
Babbelaarstraat   105,house,house,368150,for sale,3,0,0,0,0,1,242m2,210m2,3,0,as new
Hoppeweg,house,house,379000,for sale,3,1,0,0,0,0,270m2,150m2,3,0,as new
Pierine Coopmansstraat   5,house,house,405345,for sale,3,0,0,0,0,0,460m2,188m2,4,0,
Hoppeweg,house,house,407400,for sale,3,1,0,0,0,0,331m2,144m2,3,0,as new
3120    —        Tremelo      |,house,house,418100,for sale,4,1,0,0,0,1,394m2,210m2,3,0,as new
3120    —        Tremelo      |,house,house,423100,for sale,4,1,0,0,0,1,657m2,210m2,3,0,as new
"Molenveld   47,",house,exceptional property,431000,for sale,4,1,0,0,0,1,552m2,nullm2,nu,0,
"Molenveld   47,",house,exceptional property,431000,for sale,4,1,0,0,0,1,552m2,nullm2,nu,0,
Varendijkhof   25,house,house,474208,for sale,3,0,0,0,0,0,701m2,157m2,4,0,
-   -,house,house,483480,for sale,3,0,0,0,0,0,1607m2,nullm2,4,0,as new
Astridlaan   52,house,house,500000,for sale,6,1,0,0,0,0,1626m2,nullm2,,0,
Beukenpark   -,house,house,566730,for sale,3,1,0,0,0,0,854m2,nullm2,4,0,as new
Wijgmaalsesteenweg   123,house,villa,595000,for sale,4,1,0,0,0,0,675m2,222m2,4,0,as new
De Merodestraat   18,house,villa,638000,for sale,3,1,0,0,0,0,366m2,269m2,3,0,as new
rue verte voie   44,house,house,646000,for sale,4,1,0,0,0,0,1374m2,474m2,4,0,
rue verte voie   42          Box A,house,house,687900,for sale,4,1,0,0,0,0,1580m2,494m2,3,0,
